org_id,asn
ORG-CTIC1-AP-APNIC,3691
ORG-CTIC1-AP-APNIC,3692
ORG-CTIC1-AP-APNIC,3693
ORG-CTIC1-AP-APNIC,4058
ORG-CTIC1-AP-APNIC,5017
ORG-CTIC1-AP-APNIC,5018
ORG-CTIC1-AP-APNIC,9440
ORG-CTIC1-AP-APNIC,9538
ORG-CTIC1-AP-APNIC,9665
ORG-CTIL1-AP-APNIC,17554
ORG-CTIL1-AP-APNIC,38864
ORG-CTIL2-AP-APNIC,7705
ORG-CTIL2-AP-APNIC,17814
ORG-DHPL1-AP-APNIC,137402
ORG-NTPL1-AP-APNIC,137266
ORG-SL1-AP-APNIC,17988
ORG-LL250-RIPE,12976
ORG-LTB1-RIPE,3327
ORG-PIPL1-AP-APNIC,4628
ORG-PIPL1-AP-APNIC,4765
ORG-PIPL1-AP-APNIC,45166
ORG-PIPL1-AP-APNIC,58578
ORG-PIPL1-AP-APNIC,135623
ORG-PIPL1-AP-APNIC,136464
ORG-ATHK1-AP-APNIC,4865
ORG-ATHK1-AP-APNIC,134783
ORG-CIS1-AP-APNIC,4638
ORG-ISTF1-AP-APNIC,45349
ORG-ISTF1-AP-APNIC,131108
ORG-FITL1-AP-APNIC,9241
ORG-TVL1-AP-APNIC,9249
ORG-VFL1-AP-APNIC,38442
ORG-OA9-AP-APNIC,55943
ORG-VS2-AP-APNIC,9471
ORG-BSNL1-AP-APNIC,9829
@aut-17813-APNIC,17813
@aut-17813-APNIC,59319
@aut-23693-APNIC,23693
ORG-TI10-AP-APNIC,7713
ORG-TI10-AP-APNIC,17974
ORG-TIIK1-AP-APNIC,58944
ORG-TIIP2-AP-APNIC,56308
ORG-TIIP2-AP-APNIC,58513
ORG-TIIS1-AP-APNIC,58731
@aut-38750-APNIC,38750
ORG-SJVC1-AP-APNIC,131279
ORG-LTCL2-AP-APNIC,9873
ORG-LTCL2-AP-APNIC,133630
ORG-CDTD1-AP-APNIC,4609
ORG-CDTD1-AP-APNIC,7617
ORG-CDTD1-AP-APNIC,24335
ORG-TTMB1-AP-APNIC,4788
ORG-TTMB1-AP-APNIC,9986
ORG-AL4-AP-APNIC,24432
ORG-AL4-AP-APNIC,56138
ORG-DAP1-AP-APNIC,17770
ORG-DAP1-AP-APNIC,18001
ORG-NPL10-AP-APNIC,38565
ORG-SACL1-AP-APNIC,38600
ORG-SACL1-AP-APNIC,45498
@family-46975,17885
@family-46975,24203
@family-46975,24208
ORG-CSB2-AP-APNIC,10030
ORG-FSOM1-AP-APNIC,10130
ORG-FSOM1-AP-APNIC,38875
ORG-FSOM1-AP-APNIC,45193
ORG-FSOM1-AP-APNIC,58524
ORG-FSOM1-AP-APNIC,139759
ORG-MT4-AP-APNIC,9934
ORG-MPT1-AP-APNIC,9988
ORG-MPT1-AP-APNIC,45558
ORG-MPT1-AP-APNIC,63982
ORG-NTC1-AP-APNIC,23752
ORG-NTC1-AP-APNIC,55726
ORG-NTC1-AP-APNIC,58413
ORG-ODPE1-AP-APNIC,18200
ORG-ANLI3-AP-APNIC,134597
ORG-PTCL1-AP-APNIC,4661
ORG-PTCL1-AP-APNIC,9557
ORG-PTCL1-AP-APNIC,17557
ORG-PTCL1-AP-APNIC,45595
ORG-PNCC1-AP-APNIC,17893
ORG-TPL11-AP-APNIC,17828
ORG-TPL11-AP-APNIC,135571
ORG-TPL12-AP-APNIC,38009
ORG-TPL12-AP-APNIC,45826
ORG-DA14-AP-APNIC,55792
ORG-BL10-AP-APNIC,133137
@aut-9911-APNIC,9911
ORG-SOPL2-AP-APNIC,4643
ORG-SOPL2-AP-APNIC,4778
ORG-SOPL2-AP-APNIC,4794
ORG-SOPL2-AP-APNIC,4804
ORG-SOPL2-AP-APNIC,7474
ORG-SOPL2-AP-APNIC,9243
ORG-SOPL2-AP-APNIC,9250
ORG-SOPL2-AP-APNIC,9252
ORG-SOPL2-AP-APNIC,9257
ORG-SOPL2-AP-APNIC,9261
ORG-SOPL2-AP-APNIC,9279
ORG-SOPL2-AP-APNIC,9342
ORG-SOPL2-AP-APNIC,9408
ORG-SOPL2-AP-APNIC,9426
ORG-SOPL2-AP-APNIC,9438
ORG-SOPL2-AP-APNIC,9447
ORG-SOPL2-AP-APNIC,9473
ORG-SOPL2-AP-APNIC,9477
ORG-SOPL2-AP-APNIC,9480
ORG-SOPL2-AP-APNIC,9550
ORG-SOPL2-AP-APNIC,9553
ORG-SOPL2-AP-APNIC,9564
ORG-SOPL2-AP-APNIC,9624
ORG-SOPL2-AP-APNIC,9626
ORG-SOPL2-AP-APNIC,9668
ORG-SOPL2-AP-APNIC,9672
ORG-SOPL2-AP-APNIC,9682
ORG-SOPL2-AP-APNIC,9746
ORG-SOPL2-AP-APNIC,9932
ORG-SOPL2-AP-APNIC,9933
ORG-SOPL2-AP-APNIC,9983
ORG-SOPL2-AP-APNIC,9985
ORG-SOPL2-AP-APNIC,10115
ORG-SOPL2-AP-APNIC,10119
ORG-SOPL2-AP-APNIC,10128
ORG-SOPL2-AP-APNIC,10134
ORG-SOPL2-AP-APNIC,10142
ORG-SOPL2-AP-APNIC,10150
ORG-SOPL2-AP-APNIC,10218
ORG-SOPL2-AP-APNIC,10221
ORG-SOPL2-AP-APNIC,10237
ORG-SOPL2-AP-APNIC,17461
ORG-SOPL2-AP-APNIC,17662
ORG-SOPL2-AP-APNIC,17719
ORG-SOPL2-AP-APNIC,17722
ORG-SOPL2-AP-APNIC,17738
ORG-SOPL2-AP-APNIC,17757
ORG-SOPL2-AP-APNIC,18102
ORG-SOPL2-AP-APNIC,18191
ORG-SOPL2-AP-APNIC,18208
ORG-SOPL2-AP-APNIC,18213
ORG-SOPL2-AP-APNIC,18430
ORG-SOPL2-AP-APNIC,23895
ORG-SOPL2-AP-APNIC,23909
ORG-SOPL2-AP-APNIC,23968
ORG-SOPL2-AP-APNIC,24340
ORG-SOPL2-AP-APNIC,24510
ORG-SOPL2-AP-APNIC,37931
ORG-SOPL2-AP-APNIC,38214
ORG-SOPL2-AP-APNIC,45206
ORG-SOPL2-AP-APNIC,45228
ORG-SOPL2-AP-APNIC,45623
ORG-SOPL2-AP-APNIC,56084
ORG-SOPL2-AP-APNIC,56104
ORG-SPL1-AP-APNIC,3758
ORG-SPL1-AP-APNIC,4772
ORG-SPL1-AP-APNIC,9247
ORG-SPL1-AP-APNIC,9719
ORG-SPL1-AP-APNIC,9877
ORG-SPL1-AP-APNIC,17919
ORG-SPL1-AP-APNIC,38213
ORG-STIE1-AP-APNIC,7473
ORG-STIE1-AP-APNIC,7700
ORG-STIE1-AP-APNIC,10140
ORG-STIE1-AP-APNIC,24493
ORG-STIE1-AP-APNIC,38612
ORG-LCSL1-AP-APNIC,5087
ORG-LCSL1-AP-APNIC,45338
ORG-STHK1-AP-APNIC,17888
ORG-STLM1-AP-APNIC,9506
ORG-STMP1-AP-APNIC,45143
ORG-STPL11-AP-APNIC,23856
ORG-STPL11-AP-APNIC,137468
ORG-STJL1-AP-APNIC,17977
ORG-STKL1-AP-APNIC,9884
ORG-STTL1-AP-APNIC,4845
ORG-UPL2-AP-APNIC,10223
ORG-STCL1-AP-APNIC,45891
ORG-STCL1-AP-APNIC,134525
ORG-SISC1-AP-APNIC,139609
ORG-SLTL1-AP-APNIC,9329
ORG-SLTL1-AP-APNIC,17904
ORG-SLTL1-AP-APNIC,45489
ORG-SLTL1-AP-APNIC,131173
ORG-CTPC1-AP-APNIC,4651
ORG-CTPC1-AP-APNIC,4652
ORG-CTPC1-AP-APNIC,9335
ORG-CTPC1-AP-APNIC,9931
ORG-CTPC1-AP-APNIC,18252
ORG-CTPC1-AP-APNIC,131089
ORG-CTPC1-AP-APNIC,131090
ORG-TPCL1-AP-APNIC,9737
ORG-TPCL1-AP-APNIC,23969
ORG-TPCL1-AP-APNIC,37930
ORG-TPCL1-AP-APNIC,38040
ORG-TPCL1-AP-APNIC,131293
ORG-TPCL1-AP-APNIC,134166
ORG-TPCL1-AP-APNIC,137053
ORG-TCC3-AP-APNIC,38201
ORG-TCL12-AP-APNIC,132579
ORG-GOT2-AP-APNIC,23917
@aut-24086-APNIC,24086
@aut-262210-LACNIC,262210
@aut-52260-LACNIC,52260
@aut-7552-APNIC,7552
ORG-MS5-AFRINIC,37342
ORG-ST8-AP-APNIC,131267
ORG-VBS1-AFRINIC,327799
ORG-VCS1-AFRINIC,37620
ORG-VPL4-AP-APNIC,38623
ORG-VT2-AFRINIC,327885
ORG-VTL1-AP-APNIC,133606
@aut-7643-APNIC,7643
@aut-7643-APNIC,45898
@aut-7643-APNIC,45899
@aut-45896-APNIC,45895
@aut-45896-APNIC,45896
@aut-45896-APNIC,45897
ORG-SDTD1-RIPE,6752
@aut-16058-RIPE,16058
@aut-21271-RIPE,21271
@aut-25543-RIPE,25543
@aut-29544-RIPE,29544
@aut-6713-RIPE,6713
ORG-ATD1-AFRINIC,37190
ORG-ATN2-AFRINIC,37205
ORG-ATT1-AFRINIC,37229
ORG-DIC1-RIPE,5525
ORG-DIC1-RIPE,15802
